"date","cumulative"
2020-01-08,1
2020-01-28,2
2020-01-30,3
2020-02-04,4
2020-02-05,14
2020-02-06,15
2020-02-07,16
2020-02-08,19
2020-02-10,21
2020-02-11,23
2020-02-12,24
2020-02-13,25
2020-02-14,28
2020-02-15,30
2020-02-16,32
2020-02-17,37
2020-02-18,38
2020-02-19,46
2020-02-20,48
2020-02-21,51
2020-02-22,53
2020-02-24,57
2020-02-25,60
2020-02-26,65
2020-02-27,67
2020-02-28,70
2020-02-29,71
2020-03-01,72
2020-03-02,82
2020-03-03,89
2020-03-04,94
2020-03-05,97
2020-03-06,104
2020-03-07,105
2020-03-08,108
2020-03-09,118
2020-03-10,119
2020-03-11,127
2020-03-12,137
2020-03-13,152
2020-03-14,154
2020-03-15,156
2020-03-16,223
2020-03-17,256
2020-03-18,349
2020-03-19,400
2020-03-20,465
2020-03-21,466
2020-03-22,475
2020-03-23,533
2020-03-24,557
2020-03-25,583
2020-03-26,641
2020-03-27,648
2020-03-28,664
2020-03-29,671
2020-03-30,687
2020-03-31,708
2020-04-01,754
2020-04-02,829
2020-04-03,908
2020-04-04,918
2020-04-06,976
2020-04-07,1031
2020-04-08,1097
2020-04-09,1208
2020-04-10,1317
2020-04-11,1327
2020-04-12,1332
2020-04-13,1416
2020-04-14,1518
2020-04-15,1619
2020-04-16,1749
2020-04-17,1837
2020-04-18,1888
2020-04-19,1892
2020-04-20,1975
2020-04-21,2083
2020-04-22,2158
2020-04-23,2371
2020-04-24,2500
2020-04-25,2522
2020-04-26,2541
2020-04-27,2709
2020-04-28,2868
2020-04-29,3001
2020-04-30,3361
2020-05-01,3526
2020-05-02,3549
2020-05-03,3585
2020-05-04,3689
2020-05-05,3931
2020-05-06,4257
2020-05-07,4462
2020-05-08,4727
2020-05-09,4774
2020-05-10,4788
2020-05-11,4986
2020-05-12,5172
2020-05-13,5418
2020-05-14,5678
2020-05-15,5939
2020-05-16,6087
2020-05-17,6105
2020-05-18,6354
2020-05-19,6738
2020-05-20,7079
2020-05-21,7292
2020-05-22,7684
2020-05-23,7815
2020-05-24,7863
2020-05-25,8038
2020-05-26,8282
2020-05-27,8451
2020-05-28,8696
2020-05-29,9139
2020-05-30,9231
2020-05-31,9260
2020-06-01,9609
2020-06-02,9894
2020-06-03,10267
2020-06-04,10869
2020-06-05,11820
2020-06-06,12083
2020-06-07,12135
2020-06-08,12848
2020-06-09,13259
2020-06-10,13589
2020-06-11,14356
2020-06-12,14834
2020-06-13,14991
2020-06-14,15077
2020-06-15,15628
2020-06-16,16161
2020-06-17,16639
2020-06-18,16932
2020-06-19,18080
2020-06-20,18207
2020-06-21,18289
2020-06-22,19064
2020-06-23,19949
2020-06-24,20644
2020-06-25,21496
2020-06-26,22472
2020-06-27,22702
2020-06-28,22822
2020-06-29,24144
2020-06-30,25214
